fecha,hora,triage_cantidad
22AUG2020,5,4
22AUG2020,4,6
22AUG2020,3,2
22AUG2020,2,4
22AUG2020,1,8
22AUG2020,0,8
21AUG2020,23,5
21AUG2020,22,12
21AUG2020,21,22
21AUG2020,20,10
21AUG2020,19,21
21AUG2020,18,15
21AUG2020,17,23
21AUG2020,16,14
21AUG2020,15,14
21AUG2020,14,24
21AUG2020,13,29
21AUG2020,12,14
21AUG2020,11,22
21AUG2020,10,19
21AUG2020,9,8
21AUG2020,8,11
21AUG2020,7,3
21AUG2020,6,3
21AUG2020,5,2
21AUG2020,3,2
21AUG2020,2,3
21AUG2020,1,3
21AUG2020,0,11
20AUG2020,23,9
20AUG2020,22,10
20AUG2020,21,16
20AUG2020,20,17
20AUG2020,19,20
20AUG2020,18,22
20AUG2020,17,21
20AUG2020,16,17
20AUG2020,15,27
20AUG2020,14,21
20AUG2020,13,19
20AUG2020,12,32
20AUG2020,11,17
20AUG2020,10,21
20AUG2020,9,13
20AUG2020,8,8
18AUG2020,17,5
18AUG2020,16,19
18AUG2020,15,28
18AUG2020,14,20
18AUG2020,13,21
18AUG2020,12,21
18AUG2020,11,18
18AUG2020,10,18
18AUG2020,9,11
18AUG2020,8,9
18AUG2020,7,1
18AUG2020,6,2
18AUG2020,5,3
18AUG2020,4,1
18AUG2020,3,7
18AUG2020,2,6
18AUG2020,1,5
18AUG2020,0,10
17AUG2020,23,11
17AUG2020,22,25
17AUG2020,21,15
17AUG2020,20,24
17AUG2020,19,19
17AUG2020,18,9
17AUG2020,17,14
17AUG2020,16,15
17AUG2020,15,15
17AUG2020,14,13
17AUG2020,13,23
17AUG2020,12,15
17AUG2020,11,14
17AUG2020,10,24
17AUG2020,9,8
17AUG2020,8,4
17AUG2020,7,1
17AUG2020,6,2
17AUG2020,5,1
17AUG2020,4,1
17AUG2020,3,1
17AUG2020,2,3
17AUG2020,1,5
17AUG2020,0,14
16AUG2020,23,11
16AUG2020,22,11
16AUG2020,21,8
16AUG2020,20,17
16AUG2020,19,16
16AUG2020,18,7
16AUG2020,17,17
16AUG2020,16,11
16AUG2020,15,19
16AUG2020,14,16
16AUG2020,13,12
16AUG2020,12,19
16AUG2020,11,6
16AUG2020,10,6
16AUG2020,9,5
16AUG2020,8,2
16AUG2020,7,4
16AUG2020,5,1
16AUG2020,4,2
16AUG2020,3,1
16AUG2020,2,5
16AUG2020,1,5
16AUG2020,0,4
15AUG2020,23,15
15AUG2020,22,8
15AUG2020,21,14
15AUG2020,20,11
15AUG2020,19,11
15AUG2020,18,19
15AUG2020,17,5
15AUG2020,16,17
15AUG2020,15,15
15AUG2020,14,23
15AUG2020,13,13
15AUG2020,12,18
15AUG2020,11,12
15AUG2020,10,10
15AUG2020,9,15
15AUG2020,8,10
15AUG2020,7,3
15AUG2020,6,1
15AUG2020,4,5
15AUG2020,3,4
15AUG2020,2,4
15AUG2020,1,3
15AUG2020,0,5
14AUG2020,23,10
14AUG2020,22,19
14AUG2020,21,16
14AUG2020,20,22
14AUG2020,19,26
14AUG2020,18,24
14AUG2020,17,25
14AUG2020,16,30
14AUG2020,15,20
14AUG2020,14,40
14AUG2020,13,20
14AUG2020,12,22
14AUG2020,11,26
14AUG2020,10,8
14AUG2020,9,16
14AUG2020,8,11
14AUG2020,7,5
14AUG2020,6,2
14AUG2020,5,2
14AUG2020,4,4
14AUG2020,3,2
14AUG2020,2,1
14AUG2020,1,7
14AUG2020,0,12
13AUG2020,23,12
13AUG2020,22,18
13AUG2020,21,14
13AUG2020,20,22
13AUG2020,19,16
13AUG2020,18,19
13AUG2020,17,23
13AUG2020,16,29
13AUG2020,15,26
13AUG2020,14,23
13AUG2020,13,26
13AUG2020,12,18
13AUG2020,11,22
13AUG2020,10,18
13AUG2020,9,14
13AUG2020,8,8
13AUG2020,7,5
13AUG2020,6,1
13AUG2020,5,2
13AUG2020,4,4
13AUG2020,3,3
13AUG2020,2,4
13AUG2020,1,4
13AUG2020,0,8
12AUG2020,23,13
12AUG2020,22,19
12AUG2020,21,15
12AUG2020,20,16
12AUG2020,19,20
12AUG2020,18,18
12AUG2020,17,29
12AUG2020,16,33
12AUG2020,15,18
12AUG2020,14,30
12AUG2020,13,24
12AUG2020,12,21
12AUG2020,11,22
12AUG2020,10,16
12AUG2020,9,12
12AUG2020,8,11
12AUG2020,7,8
12AUG2020,6,2
12AUG2020,3,4
12AUG2020,2,2
12AUG2020,1,8
12AUG2020,0,10
11AUG2020,23,15
11AUG2020,22,18
11AUG2020,21,20
11AUG2020,20,22
11AUG2020,19,23
11AUG2020,18,26
11AUG2020,17,30
11AUG2020,16,29
11AUG2020,15,22
11AUG2020,14,13
11AUG2020,13,34
11AUG2020,12,36
11AUG2020,11,28
11AUG2020,10,16
11AUG2020,9,16
11AUG2020,8,9
11AUG2020,7,6
11AUG2020,6,3
11AUG2020,5,5
11AUG2020,4,2
11AUG2020,2,2
11AUG2020,1,3
11AUG2020,0,13
10AUG2020,23,16
10AUG2020,22,19
10AUG2020,21,15
10AUG2020,20,24
10AUG2020,19,20
10AUG2020,18,28
10AUG2020,17,25
10AUG2020,16,25
10AUG2020,15,31
10AUG2020,14,27
10AUG2020,13,33
10AUG2020,12,20
10AUG2020,11,34
10AUG2020,10,22
10AUG2020,9,16
10AUG2020,8,6
10AUG2020,7,4
10AUG2020,6,6
10AUG2020,5,2
10AUG2020,4,1
10AUG2020,3,6
10AUG2020,2,6
10AUG2020,1,4
10AUG2020,0,8
09AUG2020,23,18
09AUG2020,22,20
09AUG2020,21,14
09AUG2020,20,26
09AUG2020,19,26
09AUG2020,18,15
09AUG2020,17,13
09AUG2020,16,19
09AUG2020,15,20
09AUG2020,14,19
09AUG2020,13,25
09AUG2020,12,27
09AUG2020,11,15
09AUG2020,10,16
09AUG2020,9,15
09AUG2020,8,5
09AUG2020,7,3
09AUG2020,6,2
09AUG2020,5,2
09AUG2020,3,2
09AUG2020,2,12
09AUG2020,1,9
09AUG2020,0,15
08AUG2020,23,10
08AUG2020,22,20
08AUG2020,21,17
08AUG2020,20,12
08AUG2020,19,23
08AUG2020,18,17
08AUG2020,17,14
08AUG2020,16,17
08AUG2020,15,26
08AUG2020,14,24
08AUG2020,13,19
08AUG2020,12,22
08AUG2020,11,17
08AUG2020,10,14
08AUG2020,9,10
08AUG2020,8,5
08AUG2020,7,4
08AUG2020,5,2
08AUG2020,4,2
08AUG2020,3,3
08AUG2020,2,7
08AUG2020,1,12
08AUG2020,0,12
07AUG2020,23,13
07AUG2020,22,18
07AUG2020,21,19
07AUG2020,20,14
07AUG2020,19,25
07AUG2020,18,27
07AUG2020,17,23
07AUG2020,16,21
07AUG2020,15,21
07AUG2020,14,17
07AUG2020,13,39
07AUG2020,12,22
07AUG2020,11,26
07AUG2020,10,19
07AUG2020,9,12
07AUG2020,8,10
07AUG2020,7,3
07AUG2020,6,1
07AUG2020,5,2
07AUG2020,4,3
07AUG2020,3,6
07AUG2020,2,6
07AUG2020,1,6
07AUG2020,0,7
06AUG2020,23,10
06AUG2020,22,18
06AUG2020,21,9
06AUG2020,20,15
06AUG2020,19,15
06AUG2020,18,23
06AUG2020,17,27
06AUG2020,16,22
06AUG2020,15,15
06AUG2020,14,24
06AUG2020,13,33
06AUG2020,12,18
06AUG2020,11,25
06AUG2020,10,13
06AUG2020,9,16
06AUG2020,8,3
06AUG2020,7,10
06AUG2020,6,1
06AUG2020,5,2
06AUG2020,4,2
06AUG2020,3,3
06AUG2020,2,4
06AUG2020,1,6
06AUG2020,0,14
05AUG2020,23,16
05AUG2020,22,21
05AUG2020,21,24
05AUG2020,20,21
05AUG2020,19,19
05AUG2020,18,18
05AUG2020,17,22
05AUG2020,16,16
05AUG2020,15,20
05AUG2020,14,23
05AUG2020,13,23
05AUG2020,12,27
05AUG2020,11,22
05AUG2020,10,18
05AUG2020,9,11
05AUG2020,8,7
05AUG2020,7,5
05AUG2020,6,4
05AUG2020,5,1
05AUG2020,4,1
05AUG2020,3,4
05AUG2020,2,4
05AUG2020,1,4
05AUG2020,0,9
04AUG2020,23,11
04AUG2020,22,15
04AUG2020,21,9
04AUG2020,20,26
04AUG2020,19,26
04AUG2020,18,16
04AUG2020,17,18
04AUG2020,16,23
04AUG2020,15,26
04AUG2020,14,20
04AUG2020,13,19
04AUG2020,12,20
04AUG2020,11,16
04AUG2020,10,13
04AUG2020,9,19
04AUG2020,8,9
04AUG2020,7,5
04AUG2020,6,3
04AUG2020,5,2
04AUG2020,4,6
04AUG2020,3,4
04AUG2020,2,2
04AUG2020,1,8
04AUG2020,0,9
03AUG2020,23,12
03AUG2020,22,18
03AUG2020,21,10
03AUG2020,20,28
03AUG2020,19,26
03AUG2020,18,18
03AUG2020,17,24
03AUG2020,16,23
03AUG2020,15,30
03AUG2020,14,29
03AUG2020,13,34
03AUG2020,12,36
03AUG2020,11,20
03AUG2020,10,12
03AUG2020,9,14
03AUG2020,8,10
03AUG2020,7,3
03AUG2020,6,2
03AUG2020,5,6
03AUG2020,3,6
03AUG2020,2,4
03AUG2020,1,5
03AUG2020,0,10
02AUG2020,23,12
02AUG2020,22,10
02AUG2020,21,16
02AUG2020,20,21
02AUG2020,19,20
02AUG2020,18,19
02AUG2020,17,14
02AUG2020,16,13
02AUG2020,15,18
02AUG2020,14,20
02AUG2020,13,15
02AUG2020,12,19
02AUG2020,11,11
02AUG2020,10,9
02AUG2020,9,5
02AUG2020,8,5
02AUG2020,5,1
02AUG2020,4,1
02AUG2020,3,1
02AUG2020,2,3
02AUG2020,1,8
02AUG2020,0,11
01AUG2020,23,13
01AUG2020,22,14
01AUG2020,21,21
01AUG2020,20,16
01AUG2020,19,22
01AUG2020,18,16
01AUG2020,17,12
01AUG2020,16,9
01AUG2020,15,14
01AUG2020,14,24
01AUG2020,13,18
01AUG2020,12,18
01AUG2020,11,26
01AUG2020,10,6
01AUG2020,9,10
01AUG2020,8,4
01AUG2020,7,3
01AUG2020,6,4
01AUG2020,5,1
01AUG2020,4,3
01AUG2020,3,1
01AUG2020,2,4
01AUG2020,1,5
01AUG2020,0,10
31JUL2020,23,6
31JUL2020,22,17
31JUL2020,21,14
31JUL2020,20,17
31JUL2020,19,18
31JUL2020,18,22
31JUL2020,17,14
31JUL2020,16,27
31JUL2020,15,23
31JUL2020,14,40
31JUL2020,13,22
31JUL2020,12,13
31JUL2020,11,23
31JUL2020,10,19
31JUL2020,9,11
31JUL2020,8,5
31JUL2020,7,3
31JUL2020,6,1
31JUL2020,5,2
31JUL2020,4,2
31JUL2020,3,2
31JUL2020,2,3
31JUL2020,1,3
31JUL2020,0,15
30JUL2020,23,9
30JUL2020,22,13
30JUL2020,21,17
30JUL2020,20,22
30JUL2020,19,16
30JUL2020,18,21
30JUL2020,17,26
30JUL2020,16,25
30JUL2020,15,14
30JUL2020,14,21
30JUL2020,13,23
30JUL2020,12,16
30JUL2020,11,16
30JUL2020,10,20
30JUL2020,9,13
30JUL2020,8,5
30JUL2020,7,5
30JUL2020,5,2
30JUL2020,3,4
30JUL2020,2,3
30JUL2020,1,5
30JUL2020,0,7
29JUL2020,23,11
29JUL2020,22,14
29JUL2020,21,19
29JUL2020,20,16
29JUL2020,19,14
29JUL2020,18,26
29JUL2020,17,23
29JUL2020,16,16
29JUL2020,15,17
