ano;semana_epidemiologica;fecha_inicio_semana_epidemiologica;grupo_etario;departamento_residencia;n_notificaciones;n_confirmados_probables_fis;n_confirmados_por_laboratorio;n_internados_fecha_internacion;n_internados_uti_fecha_internacion;n_fallecidos_confirmados_por_laboratorio
2023;5;2023-01-29;[20,30);COMUNA 13;1;0;0;0;0;0
2023;5;2023-01-29;[50,60);COMUNA 13;1;0;0;0;0;0
2023;5;2023-01-29;[60,70);COMUNA 14;0;1;0;0;0;0
2023;5;2023-01-29;[40,50);COMUNA 3;1;0;0;0;0;0
2023;5;2023-01-29;[30,40);COMUNA 4;2;0;0;0;0;0
2023;5;2023-01-29;[40,50);COMUNA 4;1;0;0;0;0;0
2023;5;2023-01-29;[20,30);COMUNA 5;1;0;0;0;0;0
2023;5;2023-01-29;[20,30);COMUNA 6;1;0;0;0;0;0
2023;5;2023-01-29;[30,40);COMUNA 7;1;1;1;0;0;0
2023;5;2023-01-29;[40,50);COMUNA 7;1;0;0;0;0;0
2023;5;2023-01-29;[20,30);COMUNA 8;1;0;0;0;0;0
2023;5;2023-01-29;[30,40);COMUNA 8;2;0;0;0;0;0
2023;5;2023-01-29;[40,50);COMUNA 9;1;0;0;0;0;0
2023;5;2023-01-29;[60,70);COMUNA 9;0;1;1;0;0;0
2023;5;2023-01-29;[30,40);SIN DATOS;1;0;0;0;0;0
2023;6;2023-02-05;[0,10);COMUNA 1;0;1;0;0;0;0
2023;6;2023-02-05;[10,20);COMUNA 1;0;1;1;0;0;0
2023;6;2023-02-05;[40,50);COMUNA 1;0;2;2;0;0;0
2023;6;2023-02-05;[60,70);COMUNA 10;1;0;0;0;0;0
2023;6;2023-02-05;[20,30);COMUNA 11;1;0;0;0;0;0
2023;6;2023-02-05;[30,40);COMUNA 11;2;1;0;0;0;0
2023;6;2023-02-05;[40,50);COMUNA 11;1;1;1;0;0;0
2023;6;2023-02-05;[50,60);COMUNA 11;1;0;0;0;0;0
2023;6;2023-02-05;[70,80);COMUNA 11;1;0;0;1;0;0
2023;6;2023-02-05;[40,50);COMUNA 12;0;1;0;0;0;0
2023;6;2023-02-05;[0,10);COMUNA 13;1;0;0;0;0;0
2023;6;2023-02-05;[20,30);COMUNA 14;1;0;0;0;0;0
2023;6;2023-02-05;[50,60);COMUNA 14;1;0;0;0;0;0
2023;6;2023-02-05;[50,60);COMUNA 15;1;0;0;0;0;0
2023;6;2023-02-05;[20,30);COMUNA 2;2;0;0;0;0;0
2023;6;2023-02-05;[30,40);COMUNA 2;0;1;1;0;0;0
2023;6;2023-02-05;[20,30);COMUNA 3;0;1;1;0;0;0
2023;6;2023-02-05;[50,60);COMUNA 3;1;0;0;0;0;0
2023;6;2023-02-05;[0,10);COMUNA 4;1;0;0;0;0;0
2023;6;2023-02-05;[10,20);COMUNA 4;0;1;0;0;0;0
2023;6;2023-02-05;[20,30);COMUNA 4;2;0;0;0;0;0
2023;6;2023-02-05;[30,40);COMUNA 4;1;0;0;0;0;0
2023;6;2023-02-05;[50,60);COMUNA 4;1;0;0;0;0;0
2023;6;2023-02-05;[60,70);COMUNA 4;2;0;0;0;0;0
2023;6;2023-02-05;[40,50);COMUNA 5;1;0;0;0;0;0
2023;6;2023-02-05;[60,70);COMUNA 5;1;0;0;0;0;0
2023;6;2023-02-05;[50,60);COMUNA 6;1;0;0;0;0;0
2023;6;2023-02-05;[0,10);COMUNA 7;2;1;1;0;0;0
2023;6;2023-02-05;[20,30);COMUNA 7;1;0;0;0;0;0
2023;6;2023-02-05;[30,40);COMUNA 7;2;2;2;0;0;0
2023;6;2023-02-05;[40,50);COMUNA 7;1;2;1;0;0;0
2023;6;2023-02-05;[0,10);COMUNA 8;1;0;0;0;0;0
2023;6;2023-02-05;[20,30);COMUNA 8;1;0;0;0;0;0
2023;6;2023-02-05;[40,50);COMUNA 8;2;0;0;0;0;0
2023;6;2023-02-05;[50,60);COMUNA 8;1;0;0;0;0;0
2023;6;2023-02-05;[0,10);COMUNA 9;0;1;1;0;0;0
2023;6;2023-02-05;[20,30);COMUNA 9;1;1;1;0;0;0
2023;6;2023-02-05;[40,50);COMUNA 9;1;0;0;0;0;0
2023;6;2023-02-05;[50,60);COMUNA 9;1;1;1;0;0;0
2023;6;2023-02-05;[60,70);COMUNA 9;1;0;0;0;0;0
2023;6;2023-02-05;[10,20);SIN DATOS;1;0;0;0;0;0
2023;6;2023-02-05;[40,50);SIN DATOS;2;0;0;0;0;0
2023;6;2023-02-05;[50,60);SIN DATOS;1;0;0;0;0;0
2023;6;2023-02-05;[70,80);SIN DATOS;1;0;0;0;0;0
2023;7;2023-02-12;[0,10);COMUNA 1;3;0;0;0;0;0
2023;7;2023-02-12;[10,20);COMUNA 1;2;0;0;0;0;0
2023;7;2023-02-12;[40,50);COMUNA 1;2;0;0;1;0;0
2023;7;2023-02-12;[60,70);COMUNA 1;1;0;0;0;0;0
2023;7;2023-02-12;[40,50);COMUNA 10;1;0;0;0;0;0
2023;7;2023-02-12;[50,60);COMUNA 10;1;0;0;0;0;0
2023;7;2023-02-12;[70,80);COMUNA 10;1;1;1;0;0;0
2023;7;2023-02-12;[20,30);COMUNA 11;2;0;0;0;0;0
2023;7;2023-02-12;[50,60);COMUNA 11;1;0;0;0;0;0
2023;7;2023-02-12;[60,70);COMUNA 11;4;3;3;0;0;0
2023;7;2023-02-12;[70,80);COMUNA 11;1;1;1;0;0;0
2023;7;2023-02-12;[0,10);COMUNA 12;1;0;0;0;0;0
2023;7;2023-02-12;[20,30);COMUNA 12;1;0;0;0;0;0
2023;7;2023-02-12;[60,70);COMUNA 12;0;1;0;0;0;0
2023;7;2023-02-12;[20,30);COMUNA 14;1;0;0;0;0;0
2023;7;2023-02-12;[60,70);COMUNA 14;1;0;0;0;0;0
2023;7;2023-02-12;[10,20);COMUNA 15;1;0;0;0;0;0
2023;7;2023-02-12;[20,30);COMUNA 2;1;0;0;0;0;0
2023;7;2023-02-12;[30,40);COMUNA 2;2;0;0;0;0;0
2023;7;2023-02-12;[50,60);COMUNA 2;1;0;0;0;0;0
2023;7;2023-02-12;[20,30);COMUNA 3;1;0;0;0;0;0
2023;7;2023-02-12;[40,50);COMUNA 3;1;0;0;0;0;0
2023;7;2023-02-12;[50,60);COMUNA 3;1;0;0;0;0;0
2023;7;2023-02-12;[60,70);COMUNA 3;1;0;0;0;0;0
2023;7;2023-02-12;[0,10);COMUNA 4;2;0;0;0;0;0
2023;7;2023-02-12;[10,20);COMUNA 4;2;0;0;0;0;0
2023;7;2023-02-12;[20,30);COMUNA 4;2;0;0;0;0;0
2023;7;2023-02-12;[30,40);COMUNA 4;2;0;0;0;0;0
2023;7;2023-02-12;[40,50);COMUNA 4;5;1;1;0;0;0
2023;7;2023-02-12;[80,90);COMUNA 4;1;0;0;0;0;0
2023;7;2023-02-12;[0,10);COMUNA 5;1;0;0;0;0;0
2023;7;2023-02-12;[30,40);COMUNA 5;1;0;0;0;0;0
2023;7;2023-02-12;[40,50);COMUNA 5;1;0;0;0;0;0
2023;7;2023-02-12;[50,60);COMUNA 6;1;0;0;0;0;0
2023;7;2023-02-12;[70,80);COMUNA 6;1;0;0;0;0;0
2023;7;2023-02-12;[10,20);COMUNA 7;4;2;1;1;0;0
2023;7;2023-02-12;[30,40);COMUNA 7;2;1;1;0;0;0
